cof,ASA_m^2/g,Density,LS,B,O,C,H,Si,N,S,Ni,Zn,Cu,Co,F,P,Cl,V,Br
21251N2,2308.32,0.467698,23.78086,0.0,0.0666666666666666,0.4666666666666667,0.3333333333333333,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18143N3,8329.8,0.109984,35.0199,0.0,0.0,0.5849056603773585,0.3773584905660377,0.0,0.0377358490566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283N2,1867.26,0.597348,28.3007,0.0,0.0377358490566037,0.5471698113207547,0.3396226415094339,0.0,0.0377358490566037,0.0377358490566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19352N2,1894.98,0.605788,24.40536,0.0,0.0,0.6388888888888888,0.3333333333333333,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15183N2,1608.62,0.560685,27.37273,0.0268456375838926,0.1073825503355704,0.5637583892617449,0.2147651006711409,0.0,0.0805369127516778,0.0,0.0067114093959731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16020N2,1986.38,0.557269,21.2104,0.0,0.15,0.4,0.35,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13011N2,1495.99,0.497001,37.4441,0.0285714285714285,0.0571428571428571,0.6285714285714286,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16350N2,1775.47,0.502317,29.99816,0.0526315789473684,0.1052631578947368,0.5789473684210527,0.2105263157894736,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15021N2,5092.18,0.30371,22.4952,0.0,0.0701754385964912,0.5263157894736842,0.2982456140350877,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21271N3,2339.87,0.720061,8.15208,0.0,0.0,0.5867768595041323,0.3801652892561983,0.0,0.0330578512396694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140N2,1688.27,0.770438,8.96948,0.0,0.0289855072463768,0.5652173913043478,0.3768115942028985,0.0,0.0289855072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000N2,2655.65,0.560101,17.20303,0.0,0.0909090909090909,0.4090909090909091,0.4090909090909091,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16360N2,2113.18,0.53333,21.85709,0.0,0.0689655172413793,0.5172413793103449,0.3103448275862069,0.0,0.1034482758620689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
